mode,factor_name,mean_rank_ic,icir,mean_long_short_return,long_short_t_stat,mean_coverage_ratio,mean_eot_drift
expanded,bp,0.012017419269656719,0.05597826614815775,-0.005037860255538655,-0.942737954677139,0.9957748741053345,1.010442192071668
expanded,cfp,0.02995906404961364,0.21643079771996887,0.004455957310501429,1.4225144473175186,0.9928937881554285,0.8630423488081523
expanded,earnings_growth,0.020492170454837883,0.15163309423234594,0.004420708274172907,1.1739102850139116,0.9662064766847035,1.0080435488021537
expanded,ep,0.029116648801980206,0.1679545464072955,0.0006378440409594902,0.1518818951205728,0.9929249942221128,0.9549669563248361
expanded,gross_profitability,0.029089598085683815,0.16452242448372767,0.008557074296155188,1.9459271276278223,0.877449901595587,0.9576473237851539
expanded,ocf_to_assets,0.03383496122670939,0.2644770518449285,0.009843001623196316,2.8459722792285085,0.9927037034949805,1.0389499370303863
expanded,revenue_growth,0.011772921122167618,0.08917862709922972,0.00487625917745913,1.3551214987748514,0.9684248230148544,1.2372393531035348
expanded,roe,0.024487925211669734,0.1536543886411794,0.003198344460310468,0.7785265015296554,0.9896917253928577,1.0961773334973541
expanded,sp,0.012582850790388617,0.07562772944570717,-0.0009987520524377697,-0.23543699809665536,0.9929249942221128,0.9918850941027596
expanded,value_composite_raw,0.018070612979127827,0.0921886141040957,-0.00257401639109817,-0.4984023190433095,0.9960284359704009,1.0154372839804373
proxy_sensitivity,bp,0.045179935325987,0.20080340296882346,0.004152157040068674,0.4093175031762145,0.9948928484356895,
proxy_sensitivity,cfp,0.07086242278785126,0.5678046004887983,0.01373987746031411,2.14263039445567,0.9814622372912959,
proxy_sensitivity,earnings_growth,0.037859426457564786,0.32537637075367004,0.011890155297789766,1.9556998667001553,0.8995864396697205,
proxy_sensitivity,ep,0.08662430477676887,0.6127918263058548,0.014194726376578532,1.6709894876616695,0.9815408536434972,
proxy_sensitivity,gross_profitability,0.05326299687639058,0.2771824076874653,0.013686882623472556,1.6555099170245866,0.8914789030118779,
proxy_sensitivity,ocf_to_assets,0.05660767359959581,0.49345413142355854,0.01708445405697805,2.863221963582023,0.9813807266102281,
proxy_sensitivity,revenue_growth,0.02197982817169666,0.15841060274305266,0.007601129895159812,1.1129345008188096,0.9006788719304946,
proxy_sensitivity,roe,0.05990382590925667,0.40072266892383185,0.011390108501153533,1.4844661795102223,0.9794653372613148,
proxy_sensitivity,sp,0.059659288581655555,0.3670344387894035,0.01379243171997391,1.6326664573657677,0.9815408536434972,
proxy_sensitivity,value_composite_raw,0.06512361331797661,0.3505498980736232,0.011669119816455215,1.2065077738565035,0.9952142947506385,
