ticker,status,n_rows,first_date,last_date,market_cap_missing_rate,float_market_cap_missing_rate,source,error_message
601600,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601601,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601607,success_with_fallback_fill,1979,2016-01-03,2025-12-31,0.0,0.01869631126831733,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601608,success_with_fallback_fill,2034,2016-01-03,2025-12-31,0.0,0.04523107177974434,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601611,success_with_fallback_fill,2057,2016-06-06,2025-12-31,0.0,0.05590666018473505,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601615,success,1684,2019-01-23,2025-12-31,0.0,0.0,akshare_stock_value_em,
601618,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601628,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601633,success_with_fallback_fill,2034,2016-01-03,2025-12-31,0.0,0.04523107177974434,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601658,success,1471,2019-12-10,2025-12-31,0.0,0.0,akshare_stock_value_em,
601668,success_with_fallback_fill,2015,2016-01-03,2025-12-31,0.0,0.036228287841191066,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601669,success_with_fallback_fill,2034,2016-01-03,2025-12-31,0.0,0.04523107177974434,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601688,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601689,success_with_fallback_fill,2064,2016-01-03,2025-12-31,0.0,0.05910852713178295,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601696,success,1422,2020-02-26,2025-12-31,0.0,0.0,akshare_stock_value_em,
601698,success,1582,2019-06-28,2025-12-31,0.0,0.0,akshare_stock_value_em,
601699,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601718,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601727,success_with_fallback_fill,2015,2016-01-03,2025-12-31,0.0,0.036228287841191066,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601728,success,1058,2021-08-20,2025-12-31,0.0,0.0,akshare_stock_value_em,
601766,success_with_fallback_fill,2015,2016-01-03,2025-12-31,0.0,0.036228287841191066,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601788,success_with_fallback_fill,2015,2016-01-03,2025-12-31,0.0,0.036228287841191066,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601799,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601800,success_with_fallback_fill,2034,2016-01-03,2025-12-31,0.0,0.04523107177974434,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601808,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601816,success,1445,2020-01-16,2025-12-31,0.0,0.0,akshare_stock_value_em,
601818,success_with_fallback_fill,2023,2016-01-09,2025-12-31,0.0,0.04003954522985665,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601825,success,1059,2021-08-19,2025-12-31,0.0,0.0,akshare_stock_value_em,
601828,success,1931,2018-01-17,2025-12-31,0.0,0.0,akshare_stock_value_em,
601838,success,1921,2018-01-31,2025-12-31,0.0,0.0,akshare_stock_value_em,
601857,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
601865,success,1672,2019-02-15,2025-12-31,0.0,0.0,akshare_stock_value_em,
601866,success_with_fallback_fill,2009,2016-01-04,2025-12-31,0.0,0.03334992533598805,akshare_stock_value_em+akshare_baidu_fallback_inferred_1e8,
