factor_name,mean_long_short_return,std_long_short_return,observations
downside_beta_neutral_z,0.0048617801916179685,0.03880858723147348,113
downside_beta_z,0.005309060771234678,0.058278105730571995,113
earnings_growth_neutral_z,0.005648520213461798,0.031009042106283028,109
earnings_growth_z,0.004251487284017791,0.04242933052403747,110
gross_profitability_neutral_z,0.007810770046410647,0.0301655932040897,119
gross_profitability_z,0.006639130695648048,0.044120274287837866,119
idiosyncratic_volatility_neutral_z,0.004280442727093306,0.04425221052805769,107
idiosyncratic_volatility_z,0.00748248325057342,0.06354386252531113,107
ocf_to_assets_neutral_z,0.007136396193368265,0.03158115335479292,119
ocf_to_assets_z,0.008064525974069993,0.03826551050517711,119
revenue_growth_neutral_z,0.005417122985753407,0.02754260426617586,109
revenue_growth_z,0.004933175905077277,0.04172851014040679,110
roe_neutral_z,0.0075482602608598435,0.03291355337470516,119
roe_z,0.004186618820567539,0.04904056594413636,119
rolling_beta_neutral_z,0.003749934971308341,0.04328570778280487,113
rolling_beta_z,0.004871603497169687,0.06218216658976346,113
size_z,-0.011036463200047603,0.049777975503336014,119
