strategy_name,cost_bps,nav,drawdown
ICIR + weekly 12w_mean eta=2.0 clip_0.5,10,1.3621742859128692,-0.040117837269116996
ICIR + weekly 12w_mean eta=2.0 clip_0.5,20,1.3171834324806264,-0.045665292536940405
ICIR + weekly 12w_mean eta=2.0 clip_0.7,0,1.3656892105428695,-0.03952013431918555
ICIR + weekly 12w_mean eta=2.0 clip_0.7,5,1.3434223403377021,-0.040185163379916955
ICIR + weekly 12w_mean eta=2.0 clip_0.7,10,1.3215130131880446,-0.040849849015883954
ICIR + weekly 12w_mean eta=2.0 clip_0.7,20,1.2787444642559878,-0.06722533834972089
ICIR + weekly 12w_mean eta=2.0 clip_0.8,0,1.3853249443654256,-0.04077854419588478
ICIR + weekly 12w_mean eta=2.0 clip_0.8,5,1.363031504305579,-0.04143251788154012
ICIR + weekly 12w_mean eta=2.0 clip_0.8,10,1.3410913824807111,-0.04208615894186363
ICIR + weekly 12w_mean eta=2.0 clip_0.8,20,1.2982491238783567,-0.0552858447385417
ICIR + weekly 12w_mean eta=2.0 no_clip,0,1.4591358086528852,-0.03880822087764835
ICIR + weekly 12w_mean eta=2.0 no_clip,5,1.433677400997412,-0.039463195553724906
ICIR + weekly 12w_mean eta=2.0 no_clip,10,1.4086562060598018,-0.04011783726911722
ICIR + weekly 12w_mean eta=2.0 no_clip,20,1.3598960205770345,-0.04142612226678799
ICIR + weekly 4w_mean eta=0.5 clip_0.5,0,1.4371288523740375,-0.04085221228142133
ICIR + weekly 4w_mean eta=0.5 clip_0.5,5,1.4135225962667393,-0.04152691124388452
ICIR + weekly 4w_mean eta=0.5 clip_0.5,10,1.3902981559082566,-0.042201255574722873
ICIR + weekly 4w_mean eta=0.5 clip_0.5,20,1.3449704984721937,-0.043548880836707826
ICIR + weekly 4w_mean eta=0.5 clip_0.7,0,1.41180069009078,-0.04085221228142122
ICIR + weekly 4w_mean eta=0.5 clip_0.7,5,1.3888550875927475,-0.04152691124388452
ICIR + weekly 4w_mean eta=0.5 clip_0.7,10,1.3662767816735983,-0.04220125557472276
ICIR + weekly 4w_mean eta=0.5 clip_0.7,20,1.322198991391676,-0.06314757981061359
ICIR + weekly 4w_mean eta=0.5 clip_0.8,0,1.4341566403498425,-0.04085221228142111
ICIR + weekly 4w_mean eta=0.5 clip_0.8,5,1.411172440682074,-0.04152691124388452
ICIR + weekly 4w_mean eta=0.5 clip_0.8,10,1.3885510270035872,-0.04220125557472276
ICIR + weekly 4w_mean eta=0.5 clip_0.8,20,1.3443740892295166,-0.047688176416355255
ICIR + weekly 4w_mean eta=0.5 no_clip,0,1.41381955807772,-0.04085221228142133
ICIR + weekly 4w_mean eta=0.5 no_clip,5,1.3903393188203768,-0.041526911243884745
ICIR + weekly 4w_mean eta=0.5 no_clip,10,1.367243028194935,-0.042201255574722873
ICIR + weekly 4w_mean eta=0.5 no_clip,20,1.3221776689194575,-0.044177530642295126
ICIR + weekly 4w_mean eta=1.0 clip_0.5,0,1.5021897819895216,-0.03888204028376452
ICIR + weekly 4w_mean eta=1.0 clip_0.5,5,1.477721740654622,-0.03955776144453027
ICIR + weekly 4w_mean eta=1.0 clip_0.5,10,1.4536461253242146,-0.040233127622686715
ICIR + weekly 4w_mean eta=1.0 clip_0.5,20,1.406647484746578,-0.041582795526594274
ICIR + weekly 4w_mean eta=1.0 clip_0.7,0,1.384935296013994,-0.039593899050439973
ICIR + weekly 4w_mean eta=1.0 clip_0.7,5,1.362665368145689,-0.04770412431048088
ICIR + weekly 4w_mean eta=1.0 clip_0.7,10,1.3407481302358264,-0.060767228734115
ICIR + weekly 4w_mean eta=1.0 clip_0.7,20,1.2979498084460765,-0.08636789506474973
ICIR + weekly 4w_mean eta=1.0 clip_0.8,0,1.4147725331013412,-0.04085221228142144
ICIR + weekly 4w_mean eta=1.0 clip_0.8,5,1.3922114592138772,-0.041526911243884634
ICIR + weekly 4w_mean eta=1.0 clip_0.8,10,1.3700047170146812,-0.04220125557472265
ICIR + weekly 4w_mean eta=1.0 clip_0.8,20,1.3266323924579422,-0.060673153633901356
ICIR + weekly 4w_mean eta=1.0 no_clip,0,1.4994277036534012,-0.03888204028376463
ICIR + weekly 4w_mean eta=1.0 no_clip,5,1.4741468994844837,-0.03955776144453038
ICIR + weekly 4w_mean eta=1.0 no_clip,10,1.4492856806350913,-0.04023312762268694
ICIR + weekly 4w_mean eta=1.0 no_clip,20,1.4007946939843003,-0.041582795526594385
ICIR + weekly 4w_mean eta=1.5 clip_0.5,0,1.5342877214740591,-0.036096273216685404
ICIR + weekly 4w_mean eta=1.5 clip_0.5,5,1.5091214695599409,-0.03680479371273726
ICIR + weekly 4w_mean eta=1.5 clip_0.5,10,1.484361708334973,-0.03751292509752868
ICIR + weekly 4w_mean eta=1.5 clip_0.5,20,1.4360359021421183,-0.03892802110095872
ICIR + weekly 4w_mean eta=1.5 clip_0.7,0,1.3899957172195803,-0.04283788867001104
ICIR + weekly 4w_mean eta=1.5 clip_0.7,5,1.3677789598389927,-0.055864366819717515
ICIR + weekly 4w_mean eta=1.5 clip_0.7,10,1.3459119335216507,-0.06871676555878803
ICIR + weekly 4w_mean eta=1.5 clip_0.7,20,1.3032054722493924,-0.09390842973850455
ICIR + weekly 4w_mean eta=1.5 clip_0.8,0,1.4297555317299047,-0.04085221228142122
ICIR + weekly 4w_mean eta=1.5 clip_0.8,5,1.4070069838878783,-0.04152691124388441
ICIR + weekly 4w_mean eta=1.5 clip_0.8,10,1.3846149033540374,-0.04220125557472276
ICIR + weekly 4w_mean eta=1.5 clip_0.8,20,1.3408782270489106,-0.05443613126229052
ICIR + weekly 4w_mean eta=1.5 no_clip,0,1.5677644486255078,-0.03609627321668529
ICIR + weekly 4w_mean eta=1.5 no_clip,5,1.5406105028435833,-0.03680479371273715
ICIR + weekly 4w_mean eta=1.5 no_clip,10,1.5139195135606784,-0.037512925097528904
ICIR + weekly 4w_mean eta=1.5 no_clip,20,1.4618954600509604,-0.041498373117903276
ICIR + weekly 4w_mean eta=2.0 clip_0.5,0,1.530406609377074,-0.03609627321668518
ICIR + weekly 4w_mean eta=2.0 clip_0.5,5,1.5054490619972796,-0.03680479371273715
ICIR + weekly 4w_mean eta=2.0 clip_0.5,10,1.4808923017971862,-0.037512925097528904
ICIR + weekly 4w_mean eta=2.0 clip_0.5,20,1.4329558950451204,-0.03892802110095861
ICIR + weekly 4w_mean eta=2.0 clip_0.7,0,1.3853740914226442,-0.046020376968911036
ICIR + weekly 4w_mean eta=2.0 clip_0.7,5,1.3632449435316714,-0.05899405844596273
ICIR + weekly 4w_mean eta=2.0 clip_0.7,10,1.3414639283320657,-0.07179449490838175
ICIR + weekly 4w_mean eta=2.0 clip_0.7,20,1.298924806572565,-0.09688468725696497
ICIR + weekly 4w_mean eta=2.0 clip_0.8,0,1.4292813754251095,-0.04085221228142122
ICIR + weekly 4w_mean eta=2.0 clip_0.8,5,1.406527671950602,-0.04152691124388441
ICIR + weekly 4w_mean eta=2.0 clip_0.8,10,1.3841307161981902,-0.04220125557472276
ICIR + weekly 4w_mean eta=2.0 clip_0.8,20,1.3403851011934065,-0.054783874988975745
ICIR + weekly 4w_mean eta=2.0 no_clip,0,1.6013645020271063,-0.03692985956583705
ICIR + weekly 4w_mean eta=2.0 no_clip,5,1.5733595616268794,-0.03763793895972267
ICIR + weekly 4w_mean eta=2.0 no_clip,10,1.545836747325297,-0.03834562939718189
ICIR + weekly 4w_mean eta=2.0 no_clip,20,1.4922049560291557,-0.04562645131349741
ICIR + weekly 8w_mean eta=0.5 clip_0.5,0,1.379755957929172,-0.04077854419588467
ICIR + weekly 8w_mean eta=0.5 clip_0.5,5,1.3569557815929363,-0.0414325178815399
ICIR + weekly 8w_mean eta=0.5 clip_0.5,10,1.3345266230371327,-0.04208615894186363
ICIR + weekly 8w_mean eta=0.5 clip_0.5,20,1.2907576765766648,-0.05845723981338791
ICIR + weekly 8w_mean eta=0.5 clip_0.7,0,1.3710443245888069,-0.04077854419588467
ICIR + weekly 8w_mean eta=0.5 clip_0.7,5,1.3487222960662375,-0.04143251788154001
ICIR + weekly 8w_mean eta=0.5 clip_0.7,10,1.3267582017566333,-0.04527747104515434
ICIR + weekly 8w_mean eta=0.5 clip_0.7,20,1.2838812969940205,-0.07162317733935786
ICIR + weekly 8w_mean eta=0.5 clip_0.8,0,1.392568443794425,-0.04077854419588478
ICIR + weekly 8w_mean eta=0.5 clip_0.8,5,1.3701119047053614,-0.04143251788154012
ICIR + weekly 8w_mean eta=0.5 clip_0.8,10,1.3480120264907578,-0.04208615894186374
