date,intercept,bp_z,ep_z,sp_z,cfp_z,value_composite_raw_z
2016-01-29,-0.031453511825243204,0.09818532517763136,-0.0036665850979529374,0.19232719850582813,0.04519824695275599,-0.28349281082489536
2016-02-29,0.1878034757530852,-0.10386203371406538,0.0012866752814034755,-0.20553786033190605,-0.05237240853463182,0.2890853497134669
2016-03-31,-0.012981303800065236,0.02391815707109454,-0.004264389602826732,0.03095211980812326,0.02652281087623404,-0.06253298638822209
2016-04-29,0.008349509261693464,-0.005928076722345998,-2.2872065809273203e-06,0.030928693958050025,0.004932679004478049,-0.04133234932643728
2016-05-31,0.057165137791488796,-0.13713257062319323,0.07933132792904764,-0.09168120495851553,-0.06693313526965362,0.23203713426321462
2016-06-30,0.003774485441807795,0.07526677627053036,0.03651995885762011,0.05974907870256503,-0.006146686449459526,-0.10851061450432405
2016-07-29,0.038755652187153516,0.015382050147482939,-0.010700528172591641,-0.011609579141284536,-0.00041895060778653184,0.006042476915433474
2016-08-31,-0.011412437782822178,-0.02059185271876186,0.0176018587348047,-0.0156937709398534,0.0008309320322639526,0.03743504741734314
2016-09-30,0.032085342547036974,-0.013703833713703609,-0.011040659285968167,-0.012711115559701683,0.0026033021689086055,0.025574115277867092
2016-10-31,0.02145724441254062,0.05027890196573329,0.004986271076611768,0.03723398268039155,-0.006287545306636105,-0.05012585310792771
2016-11-30,-0.05343209314296579,0.03341069233414065,-0.012076112403719376,0.07793968616421318,0.03304871617628155,-0.09167838415247995
2016-12-30,-0.014514916494718784,0.03490253898802984,0.003295209064714881,-0.0027929612760635787,-0.00592606786368686,0.0027978484157832753
2017-01-26,0.05832196684776783,-0.012326733765180538,0.014443285813068599,0.01299687243522009,-0.01795510087655476,0.007475008080944366
2017-02-28,0.012282672655051785,0.02110330337069184,0.00032353586696565493,0.06576997322570315,0.023843161923774,-0.1037771937481731
2017-03-31,-0.009282868513969108,0.04027578101571755,0.005661947936130608,0.017515696579229183,-0.007612746517689346,-0.029464868145088512
2017-04-28,-0.03881235537298399,-0.011962446662253372,0.010716314220635934,-0.00958161169396247,0.006483702333486441,-0.004831870025135414
2017-05-31,0.050744241831329626,0.014024898073392132,0.023275089581552146,0.013298633379318922,-0.0014534912459942082,-0.05473068560176462
2017-06-30,-0.016003796874594228,0.0531301564980006,-0.011498184299168785,0.047013265129705106,0.02031001823598632,-0.09747943271900635
2017-07-31,0.03875192022337188,0.010892263292535292,0.01889831274292089,-0.0005304399702392427,0.008710027653466124,-0.04621056643642263
2017-08-31,0.03162543455738861,0.031055399562308777,-0.011969255507416532,0.05806427187442948,0.00826983791242379,-0.08825746016505101
2017-09-29,0.02010146745438093,0.012446531469926908,0.03088372115110864,0.04767296974703475,0.016840291609197228,-0.0831856672120908
2017-10-31,-0.028159556940921846,0.008041332367011945,0.017002897220750934,0.05377982336012478,0.001151608207986344,-0.053564627404594466
2017-11-30,0.011760735409754919,0.010115426603214607,0.010783085957246726,0.042916015641934264,0.007531931244088748,-0.062311239417206496
2017-12-29,-0.004625294291410798,0.010851270230610536,0.04187563568031997,0.013167999096294522,-0.015262125151712378,-0.012604966581727967
2018-01-31,-0.005300775508624744,-0.006316332561161716,0.00125649321442584,0.0466599071135853,0.018186633972868994,-0.05947062141060426
2018-02-28,0.033983852011315166,-0.034440595621742405,-0.0371008907952319,-0.05286523972016894,-0.02852024445177907,0.0639071820459526
2018-03-30,-0.03447377069539979,-0.0012426966287912356,-0.014021419590379992,-0.007846073689976188,-0.004515471500533507,0.01302564892185657
2018-04-27,0.013866586250093335,-0.01570634466413078,0.02834236440524497,0.019632087379673452,0.014456699269806833,-0.007491841328975983
2018-05-31,-0.0806983012961025,-0.045247744479908876,0.0119812065808596,-0.026687380672023687,0.009133591787100777,0.05436907171726914
2018-06-29,-0.012256813344383234,0.06124695764427325,-0.002308176268030638,0.052282240939516056,-0.0021802780443299294,-0.07818696657466254
2018-07-31,-0.07110375326971669,0.032643972048868805,-0.01954652588663363,0.04652227852610743,-0.0010582733325607927,-0.06099398635138667
2018-08-31,0.0033448467213810108,-0.00738661351208913,0.004424579448108829,-0.024290572010856666,-0.006569779928259627,0.04385007718708072
2018-09-28,-0.10386880089927283,0.0017215890857290295,1.2054005320066473e-05,-0.01612246351324353,0.008723589384364468,0.01821137927532445
2018-10-31,0.04440840980728058,0.03648809848939902,-0.01801867875567649,0.038523402847134625,-0.0012642037254806987,-0.06743660648070385
2018-11-30,-0.047181279695660376,0.0027887992208624787,0.004542498998240205,-0.02069528876639032,-0.006257151534440343,0.022586232488365037
2018-12-28,0.016677911997606275,-0.04954952431461049,0.032615322993139025,-0.0471907018105896,-0.017475106087814617,0.079044729622618
2019-01-31,0.2335969097618419,0.0062546027202029925,-0.06779101746961506,-0.006069095474091374,0.007078216262171174,0.03759356045781313
2019-02-28,0.10578571252100984,-0.018789472594141963,-0.007686164772116234,0.002585552097869697,-0.0032458442737658155,0.002131466684943428
