factor_name,mean_rank_ic,std_rank_ic,rank_icir,rank_ic_win_rate,observations,window
ep_industry_size_neutral_z,0.029898419590920305,0.1148771385842221,0.26026431332984756,0.5476190476190477,84,train_pre_2023
ep_industry_size_neutral_z,0.053768330875228774,0.13517431286005602,0.397770328826412,0.6857142857142857,35,sample_out_2023_2025
