factor_name,mean_long_short_return,std_long_short_return,observations
bp_industry_neutral_z,0.00039284618203004547,0.03825057057892032,119
bp_industry_size_neutral_z,-0.004360929317570818,0.031601059348966606,119
bp_size_neutral_z,-0.01169116463301853,0.054226816812746555,119
bp_z,-0.00598623476036131,0.061295609557264805,119
cfp_industry_neutral_z,0.0027324078045920805,0.026681628946831615,119
cfp_industry_size_neutral_z,0.0008575138995089237,0.02853862478703889,119
cfp_size_neutral_z,0.0023633133623562246,0.04153687911393687,119
cfp_z,0.005566036150578172,0.035091260946960044,119
ep_industry_neutral_z,0.0039368421126661415,0.036001546105735846,119
ep_industry_size_neutral_z,0.0024931774108548875,0.03868868189665954,119
ep_size_neutral_z,0.000229876941536394,0.05336921562170345,119
ep_z,1.0099054113746388e-05,0.05198142858288,119
sp_industry_neutral_z,-0.004619525768878931,0.03618002026746818,119
sp_industry_size_neutral_z,-0.005548135679732713,0.03251078422468731,119
sp_size_neutral_z,-0.0071614943647915295,0.050002634940142426,119
sp_z,-0.0042607280349374966,0.055322959768986775,119
value_composite_raw_industry_neutral_z,-0.0021691630976147565,0.03812108052609927,119
value_composite_raw_industry_size_neutral_z,-0.0071549980941776545,0.03338672229204251,119
value_composite_raw_size_neutral_z,-0.009684850807439728,0.05331621966318342,119
value_composite_raw_z,-0.004662741531569621,0.06059807922016296,119
