date,factor_name,n_obs,group_1_return,group_2_return,group_3_return,group_4_return,group_5_return,long_short_return
2016-01-29,size_z,210,0.014433485063085671,-0.009600354490597773,0.004451755309108881,-0.045263605074028004,-0.03277817708417202,-0.047211662147257694
2016-02-29,size_z,210,0.20072290098052012,0.19468977874192928,0.20984896147107968,0.12403898052989051,0.10552732989352717,-0.09519557108699295
2016-03-31,size_z,214,0.007048398876790817,0.015246757823553008,-0.030007542872578088,-0.039308575345672184,-0.01818111720372062,-0.025229516080511438
2016-04-29,size_z,214,0.03843188642801835,0.009980432306832727,0.003157597439823253,-0.0033255207967616556,0.012300876860260644,-0.026131009567757706
2016-05-31,size_z,215,0.13591003381777167,0.04170374639194978,0.011871778737819284,0.027248112241953493,0.03647728281324473,-0.09943275100452695
2016-06-30,size_z,215,-0.004136765038460042,-0.019791286387624615,0.030183920719623284,0.022943770171403925,-0.008401668780722866,-0.004264903742262824
2016-07-29,size_z,215,0.022067864339272613,0.03837857226422956,0.05507015142351014,0.044673659767124896,0.04357766969022383,0.021509805350951216
2016-08-31,size_z,211,0.013035722099487371,-0.007267199375052403,-0.03413405788917571,-0.02158553450626272,-0.01351498720933981,-0.02655070930882718
2016-09-30,size_z,212,0.07350446592089861,0.036356417027975325,0.014009409254783188,0.026551924217189046,0.011611738648909483,-0.06189272727198913
2016-10-31,size_z,216,0.011899589025487673,0.014116189329770466,0.03163008651073622,0.004773497752388796,0.04577811193277697,0.033878522907289293
2016-11-30,size_z,218,-0.025897327555106098,-0.05083601759494758,-0.07499961082812863,-0.061734440927982526,-0.07249169040912413,-0.04659436285401804
2016-12-30,size_z,219,-0.027816382630453905,-0.03759286336472598,-0.016774128864143992,-0.0030004433512332185,-0.0004481232347409133,0.027368259395712993
2017-01-26,size_z,222,0.1153158262366045,0.0783534042443445,0.04068554506426772,0.03825722909068445,0.04060583306950957,-0.07470999316709492
2017-02-28,size_z,215,0.012557971484088997,-0.012795495476092981,0.01675166881323924,0.019348119659202592,0.022168237180149358,0.00961026569606036
2017-03-31,size_z,130,-0.0477895624591662,-0.04031015823240014,-0.0060558444681692155,0.011019618999215962,0.010541093339948886,0.05833065579911509
2017-04-28,size_z,190,-0.05333155796095445,-0.0493274713783398,-0.03638723764828613,-0.02380106240423992,-0.030822361274705213,0.022509196686249237
2017-05-31,size_z,219,0.0534092191932658,0.05819576576999543,0.06079084139738733,0.08007831501263901,0.07127699898299165,0.017867779789725854
2017-06-30,size_z,220,0.0036301142474982413,0.02028368392188219,0.025193251569477493,-0.000745917775093825,0.0056023605020669946,0.001972246254568753
2017-07-31,size_z,223,0.066912001306172,0.06227872348494532,0.026523366247079336,0.03380218380148846,0.02670642861732138,-0.040205572688850624
2017-08-31,size_z,229,0.052159827384074216,0.03349687540529321,0.016151686128574132,0.016624234686882396,0.021598121567107616,-0.0305617058169666
2017-09-29,size_z,229,-0.004185860941517232,-0.01367676502469831,0.032404103822206,0.018551113192025025,0.05578586391714742,0.05997172485866465
2017-10-31,size_z,227,-0.025495999543523665,-0.03308903740484848,-0.020896246613347418,-0.03358282340523566,-0.033615203356968715,-0.00811920381344505
2017-11-30,size_z,227,-0.023091759307568734,0.01989894156650061,0.010525118298533264,0.012516832255699736,0.014800109739165655,0.03789186904673439
2017-12-29,size_z,230,-0.04003210932865573,-0.01299293583523618,0.0023775005177965576,-0.003259134706396583,0.023255361391501684,0.06328747072015742
2018-01-31,size_z,231,0.019991573194981002,0.0002734975925433543,-0.021865293043801422,-0.004516510213025897,-0.045362192586394505,-0.0653537657813755
2018-02-28,size_z,231,0.0807271530858724,0.04591073778579615,0.025306703914284776,0.013302755493136328,-0.010497124934293278,-0.09122427802016568
2018-03-30,size_z,229,-0.02823646687990144,-0.041053156145834484,-0.013098949548518552,-0.051565407149490386,-0.0432436028176793,-0.015007135937777857
2018-04-27,size_z,229,0.0223240740553712,-0.005324614414218662,-0.005725185970787066,0.008425618203749527,0.03522950687417132,0.01290543281880012
2018-05-31,size_z,231,-0.08365925838115897,-0.08897711262435959,-0.07656641042680562,-0.07540737089253952,-0.08573444850628963,-0.0020751901251306604
2018-06-29,size_z,231,0.0002785608522481383,-0.01496702150668885,-0.007115300544793279,-0.010306988710334976,-0.022947604469504078,-0.023226165321752215
2018-07-31,size_z,231,-0.05495336396101016,-0.07940139737002692,-0.07470641796171255,-0.07077180301132058,-0.057294584697956015,-0.0023412207369458565
2018-08-31,size_z,234,0.019006363143174495,0.0004231833244657316,0.012228509840400385,-0.015849018578534314,0.0068125750491170095,-0.012193788094057485
2018-09-28,size_z,234,-0.08738330608227905,-0.07171670322430508,-0.11005731500983916,-0.11119937163031612,-0.10120546097825693,-0.013822154895977878
2018-10-31,size_z,235,0.05885843579126542,0.05829618708440782,0.03283171216938055,0.03115918167335558,0.01986684905546,-0.038991586735805425
2018-11-30,size_z,235,-0.04685110922569003,-0.03027157716392736,-0.03989162915531057,-0.0653936821184356,-0.06060266621930934,-0.01375155699361931
2018-12-28,size_z,235,0.01336620417959721,0.018729624258725687,0.024887055306584086,0.0138290954749038,0.03419300461040976,0.020826800430812552
2019-01-31,size_z,235,0.2951121372118246,0.2538579011851262,0.23910034697023727,0.20501875129316624,0.1895831361767662,-0.10552900103505841
2019-02-28,size_z,235,0.10174652952643737,0.1232789846417301,0.1210075966512494,0.08123569183970332,0.09864048257966448,-0.0031060469467728835
2019-03-29,size_z,235,-0.03211745599640675,-0.04296015051700497,-0.06422208817587385,-0.013071183348804038,-0.01091643137041674,0.021201024625990012
2019-04-30,size_z,238,-0.045585336950477374,-0.09271298099520375,-0.0648666849341532,-0.07300687483218332,-0.0672496869872299,-0.021664350036752524
2019-05-31,size_z,238,0.005933643579690892,0.021275142131971903,0.040988191723899337,0.03995114950801658,0.0456716198691661,0.0397379762894752
