date,portfolio_return,benchmark_return,excess_return
2016-01-29,-0.010291309439834887,-0.014393056962714507,0.004101747522879619
2016-02-29,0.13732451373103907,0.15069204187616805,-0.013367528145128982
2016-03-31,0.004262536249845824,-0.019077129267939863,0.023339665517785685
2016-04-29,-0.0025283593661228213,0.003343034057170095,-0.005871393423292916
2016-05-31,0.07001194849211646,0.028727586959903833,0.04128436153221263
2016-06-30,0.03505359803710315,0.02709942734044727,0.007954170696655882
2016-07-29,0.03488345144830338,0.03724474854808252,-0.0023612970997791347
2016-08-31,0.011075282174845847,-0.017717744369431392,0.02879302654427724
2016-09-30,0.011263064101989358,0.03162331235291274,-0.020360248250923384
2016-10-31,0.04298735708864092,0.032550972629545136,0.010436384459095782
2016-11-30,-0.048009965623965506,-0.04946075119709148,0.0014507855731259733
2016-12-30,-0.0022944924503191084,0.001264456366495156,-0.0035589488168142644
2017-01-26,0.053493267985827764,0.04519523027905121,0.008298037706776555
2017-02-28,0.035545260230666245,0.0039474588523973,0.031597801378268946
2017-03-31,0.011494459470574179,-0.012435002520724868,0.02392946199129905
2017-04-28,-0.01048159923236135,-0.032701522692414324,0.022219923460052974
2017-05-31,0.08046827256451913,0.05607258371944366,0.024395688845075474
2017-06-30,-0.00931196394971245,0.022298472403487177,-0.03161043635319963
2017-07-31,0.05018082935375802,0.030255946603661463,0.019924882750096556
2017-08-31,0.023604384806843067,0.015855485501169435,0.007748899305673632
2017-09-29,0.07263602451219338,0.014553406569963704,0.05808261794222967
2017-10-31,0.004712490589235731,-0.016851682406624758,0.02156417299586049
2017-11-30,0.029544602003314976,0.0030588698549356753,0.0264857321483793
2017-12-29,0.053888614049780154,0.005646004645469612,0.04824260940431054
2018-01-31,-0.018626234352462717,-0.02742308389269955,0.008796849540236833
2018-02-28,-0.024974956667550015,0.0111138698514713,-0.036088826519021316
2018-03-30,-0.04150106669757288,-0.0339116293137705,-0.007589437383802376
2018-04-27,0.03137237140933914,0.006138294514340706,0.025234076894998438
2018-05-31,-0.07346965882368883,-0.08338498847882325,0.00991532965513442
2018-06-29,0.006325412823218465,0.0011187630614501174,0.005206649761768347
2018-07-31,-0.08178624595778733,-0.06231684336470505,-0.01946940259308228
2018-08-31,0.019792929195904224,0.014312855779789276,0.005480073416114948
2018-09-28,-0.10311516802941009,-0.08687890232234399,-0.0162362657070661
2018-10-31,0.026633681934727853,0.03166629627112849,-0.005032614336400638
2018-11-30,-0.04680173472733589,-0.04396295713151946,-0.0028387775958164316
2018-12-28,0.061967744992123056,0.021573505648694372,0.04039423934342869
2019-01-31,0.2142894941839935,0.2187360169476933,-0.004446522763699778
2019-02-28,0.08530757455543583,0.08591528240739246,-0.0006077078519566292
2019-03-29,-0.030922628349551156,-0.028116728242728276,-0.0028059001068228805
2019-04-30,-0.07169234948164045,-0.06808738347872166,-0.0036049660029187913
2019-05-31,0.06059432065463791,0.029028678463274678,0.031565642191363236
2019-06-28,0.03186494083266456,0.01292367508376218,0.018941265748902376
2019-07-31,-0.002944351997600231,-0.006732741543205095,0.003788389545604864
2019-08-30,0.014691775579840124,0.013431964912000134,0.00125981066783999
2019-09-30,0.007712506625683302,0.005884324140673262,0.0018281824850100402
2019-10-31,0.012759043500368127,-0.0010791887704183207,0.013838232270786448
2019-11-29,0.11096743295476741,0.0844465139466024,0.026520919008165014
2019-12-31,0.007735980639084605,0.010832089261838939,-0.0030961086227543344
2020-01-23,-0.011782714962827293,0.006987798128382497,-0.018770513091209792
2020-02-28,-0.09220805416250374,-0.06389654401029224,-0.028311510152211505
2020-03-31,0.06607182795171444,0.05716453227293905,0.008907295678775393
2020-04-30,0.007576569906577034,0.001069616338929026,0.006506953567648008
2020-05-29,0.09938490989572316,0.08222886640573902,0.017156043489984132
2020-06-30,0.13827363676825818,0.15563604059270475,-0.017362403824446565
2020-07-31,0.018301914595214935,0.023192024010695204,-0.004890109415480268
2020-08-31,-0.05220255236796516,-0.053897806518630305,0.0016952541506651472
2020-09-30,0.022767436613696446,0.001735447633860903,0.021031988979835544
2020-10-30,0.08561301918881616,0.0608128568922935,0.024800162296522654
2020-11-30,-0.005827808706477344,0.010278089064570402,-0.016105897771047747
2020-12-31,0.03217041068772238,-0.0024959975884048277,0.03466640827612721
2021-01-29,0.05698188856545705,0.01277059215655477,0.044211296408902284
2021-02-26,-0.010458736410272083,-0.011277364150750327,0.0008186277404782435
2021-03-31,-0.032080259960217045,0.015980596169543664,-0.04806085612976071
2021-04-30,0.04430573176090459,0.04814981818590398,-0.0038440864249993864
2021-05-31,-0.02813145790941261,0.005580417917487848,-0.03371187582690046
2021-06-30,-0.04705081503514437,-0.026219170646429115,-0.020831644388715254
2021-07-30,0.03827296479140607,0.06822851764749184,-0.029955552856085768
2021-08-31,0.0349635109373227,0.01960917927094668,0.015354331666376023
2021-09-30,-0.04354568553660837,-0.01888037261302783,-0.02466531292358054
2021-10-29,-0.021475244842154115,0.017214958365259627,-0.038690203207413745
2021-11-30,0.063800004723593,0.04845853415301748,0.01534147057057552
2021-12-31,-0.06625562615426528,-0.08425880883645953,0.018003182682194252
2022-01-28,0.011531489847419862,0.024838548130170245,-0.013307058282750382
2022-02-28,-0.07254297376794637,-0.06775067905045004,-0.004792294717496329
2022-03-31,-0.07113818233551358,-0.08243594817326062,0.01129776583774704
2022-04-29,0.036590134130630295,0.05939671068646295,-0.022806576555832653
2022-05-31,0.09060627128396252,0.07559976705305252,0.015006504230910003
2022-06-30,-0.026422388627512516,-0.031542753201139855,0.005120364573627339
2022-07-29,-0.033016659081965535,-0.00982530450426154,-0.023191354577703993
2022-08-31,-0.08083549673662388,-0.07356045036059622,-0.007275046376027661
2022-09-30,-0.05021234935797392,-0.011544661226274672,-0.03866768813169925
2022-10-31,0.12542279519227767,0.09640029161396121,0.029022503578316455
2022-11-30,-0.025911402988695317,-0.026146695108466702,0.0002352921197713853
2022-12-30,0.08056715779759202,0.06529899343420627,0.015268164363385753
2023-01-31,0.05321041948426265,0.022351359389075957,0.030859060095186696
2023-02-28,0.02105204047828937,0.018074961240353547,0.0029770792379358244
2023-03-31,-0.011722126178912412,0.004128040313700104,-0.015850166492612516
2023-04-28,0.0018227933440656263,-0.03476434993020506,0.036587143274270685
2023-05-31,0.02927487957388713,0.01122286865985909,0.01805201091402804
2023-06-30,0.04250229408609038,0.04557746933877509,-0.003075175252684706
2023-07-31,-0.06660830554612082,-0.05492977724699246,-0.011678528299128361
2023-08-31,-0.01750402421369589,-0.009666719099345815,-0.007837305114350076
2023-09-28,-0.03834885018380134,-0.02693682596116408,-0.011412024222637259
2023-10-31,-0.017102984776207534,-0.0019895222461902866,-0.015113462530017246
2023-11-30,-0.013480143009777238,-0.02484520744386959,0.011365064434092353
2023-12-29,-0.07562990924723176,-0.09004050644326235,0.014410597196030592
2024-01-31,0.11337016508473866,0.1107201522421877,0.002650012842550953
2024-02-29,-0.0013894477630836694,0.0007122136272609677,-0.002101661390344637
2024-03-29,-0.001809026021984312,0.013444473973644207,-0.015253499995628519
