term,mean_coefficient,newey_west_se,t_stat,observations
intercept,0.011808116103434173,0.005286601013498713,2.233593205404293,119
bp_z,-0.0052160277105325,0.003775601074901443,-1.3815092238442213,119
ep_z,0.0010525825526283153,0.0016581497301723124,0.6347934287689041,119
sp_z,9.959839107677274e-05,0.005373788813244015,0.018534109645564543,119
cfp_z,0.0020090316794880154,0.0014989153081743324,1.3403236784171622,119
value_composite_raw_z,0.0022007298930185994,0.008662538066800701,0.2540513964900111,119
