date,factor_name,n_obs,group_1_return,group_2_return,group_3_return,group_4_return,group_5_return,long_short_return
2016-01-29,bp_z,210,0.010097066175452524,-0.052209085134694314,-0.025195261195685593,-0.00254064353446505,0.0010910274127891848,-0.00900603876266334
2016-02-29,bp_z,210,0.14595878639521204,0.1882645428385951,0.20530294360317333,0.17328757071642248,0.12201410806354379,-0.023944678331668245
2016-03-31,bp_z,214,-0.009151514432156078,-0.025246126532306037,-0.0038810411710549935,-0.016509471022513864,-0.009806332500769977,-0.000654818068613899
2016-04-29,bp_z,214,0.02042734899529069,0.0050621850174968975,0.043192605769722406,0.016374641575896676,-0.023580462414886868,-0.04400781141017756
2016-05-31,bp_z,215,0.06732022974406618,0.049876103886700746,0.05799207128190777,0.06950963072404336,0.008512918366020913,-0.05880731137804526
2016-06-30,bp_z,215,-0.00968632515998508,-0.003203447929982116,0.011239956547646783,-0.02038660191445025,0.04283438914099035,0.052520714300975435
2016-07-29,bp_z,215,0.01785884631441172,0.03224341275998324,0.04148061449394538,0.05377965600018867,0.05840538791583203,0.04054654160142031
2016-08-31,bp_z,211,-0.014981724750188389,-0.005998395707955388,-0.019867344815064122,-0.02052562822836944,-0.0014258813109165112,0.013555843439271877
2016-09-30,bp_z,212,0.03773238907634466,0.03419583508782098,0.022388807171806264,0.03886730273757803,0.029280648775211724,-0.008451740301132934
2016-10-31,bp_z,216,-0.004431020777497783,0.0011934070233464349,0.0035537383452982217,0.039268412121976154,0.06899271946136233,0.07342374023886011
2016-11-30,bp_z,218,-0.0550700329109,-0.0677680744565226,-0.05322269226974503,-0.06003221084832697,-0.0502122092566562,0.004857823654243802
2016-12-30,bp_z,219,-0.05836380461670394,-0.028216023653435854,-0.02604773586758998,-0.009679578227070874,0.03646443712396978,0.09482824174067372
2017-01-26,bp_z,222,0.10345535622121806,0.0447538431109283,0.04156103737967048,0.04255067251920825,0.08026513679906368,-0.02319021942215438
2017-02-28,bp_z,215,0.038433730018857575,0.02579693674988596,0.013522913915400359,-0.010013475390168043,-0.009709603633388637,-0.04814333365224621
2017-03-31,bp_z,130,-0.04653657268014829,-0.005529142865768448,-0.022709282036567826,-0.029841149289502485,0.032021294051416356,0.07855786673156465
2017-04-28,bp_z,190,-0.039894227623902545,-0.014927372984376264,-0.05164729644606297,-0.046627542847842464,-0.040573250764341276,-0.0006790231404387309
2017-05-31,bp_z,219,0.06719227469936077,0.08563148297065372,0.06088580885579678,0.0515764792912575,0.05846725289053795,-0.00872502180882282
2017-06-30,bp_z,220,-0.004245989700736427,-0.011888493543010864,0.005360841895075774,0.02099027238687829,0.043746861427624316,0.04799285112836074
2017-07-31,bp_z,223,0.039726317023471396,0.0597134102258498,0.040589072549466663,0.04128615680047388,0.03501705040752011,-0.004709266615951287
