index,date,turnover,strict_execution_cost,blocked_trade_rate
count,119,119.0,119.0,119.0
mean,2020-12-29 07:15:37.815126,0.16102520298197215,0.00039092345137423595,0.016732147387146557
min,2016-01-29 00:00:00,0.02040816326530612,3.817821756918333e-05,0.0
25%,2018-07-15 00:00:00,0.041666666666666664,0.00010429181663878868,0.0
50%,2020-12-31 00:00:00,0.08695652173913043,0.00020852978771145641,0.005376344086021506
75%,2023-06-15 00:00:00,0.25288376220053244,0.0005791439809727304,0.020141700404858298
max,2025-11-28 00:00:00,0.696969696969697,0.0018429103553566169,0.11842105263157894
std,,0.15827844892717466,0.0003988152141734787,0.025696319801015544
