subperiod,portfolio_annual_return,portfolio_sharpe,portfolio_max_drawdown,benchmark_annual_return,excess_mean_monthly,observations
2016-2019,0.22068287757629879,1.125389286366749,-0.2751524935708206,0.10224650756156306,0.008826526015227704,48
2020-2022,0.0755053963044956,0.4481270899408729,-0.2508882756290808,0.12038386717661975,-0.00307767706781999,36
2023-2025,0.12657856389098465,0.6834589930550663,-0.23664776944942123,0.09957108074259469,0.002083556586050368,35
sample_out_2023_2025,0.12657856389098465,0.6834589930550663,-0.23664776944942123,0.09957108074259469,0.002083556586050368,35
