date,intercept,size_z,roe_z,gross_profitability_z,ocf_to_assets_z,revenue_growth_z,earnings_growth_z,rolling_beta_z,idiosyncratic_volatility_z,downside_beta_z
2017-01-26,0.046918732572437095,-0.020760187701682458,0.01480175346150275,-0.004001024748030892,-0.012972702997940608,-0.004803136996510724,-0.004133195445520486,-0.015314268972208597,0.003998480992656458,0.015719566643139733
2017-02-28,0.006342420014578978,0.005243828441896766,-0.049741509593204565,0.15046888651815,-0.14366672684610626,0.025828642716630358,-0.01883009254715982,-0.025302401646452633,0.014605474155545705,-0.003440738919653579
2017-03-31,-0.010476519920925364,0.01711341818716803,-0.04451553852299069,0.08717994054787385,-0.020112679705163693,-0.02172230554090364,-0.01014087320190633,0.01376911714712459,-0.011985294500854551,-0.013301694625391915
2017-04-28,-0.03166588380993761,0.011060272416759382,-0.011794111536732729,0.026158476565295727,-0.005250109735331675,-0.004803427416517438,-0.0034338794602114804,-0.0024951713376802406,-0.012370455309435141,-0.0020179012930934192
2017-05-31,0.06812898131383158,0.009814353631254389,0.015383589623010807,0.003197897082558779,-0.009565190369811466,0.013238758658331188,0.008664167632356447,0.015211034743967239,0.006100435969136696,-0.016828681776276947
2017-06-30,0.012695843094302764,0.015816150017480646,0.017109600456232332,-0.02628953444838502,0.006332487601417134,-0.004583403873737567,0.014224698927474086,0.020631271534076633,0.008126095202127414,-0.0013980142161459119
2017-07-31,0.040233106860429364,-0.01333454822915977,-0.004940347965250802,0.005428030097980142,0.001151819110606217,0.010303789501957247,0.0012836208256452595,0.01235577846182451,0.000726062443194873,-0.0025956661840098837
2017-08-31,0.028895609123412956,-0.003477797065347896,0.009434309577902441,0.008986029447852328,-0.006772604007873235,0.005227519561821457,-0.013550901378381459,-0.0022754873685736855,-0.00692244140067236,0.02289129570350658
2017-09-29,0.018486250581096264,0.023109027979219935,0.013538879679242584,0.008227566178015063,0.0023522146488403504,0.014202226202200567,0.001961228025434022,-0.014741200530734789,-0.004347995569908142,-0.00040307597735272867
2017-10-31,-0.03308135477591887,-0.017512468928585302,0.014449515218656546,-0.020723186852737142,-0.005395007414028887,0.007311748308485965,0.013453646043759137,-0.019191118209985043,-0.00573353850396313,-0.012232329371598816
2017-11-30,0.012457911200864709,0.013446890544506745,0.011316068442619167,9.131761916748061e-05,-0.003451252431887523,0.004292479378155886,-0.005082996142980716,-0.02638348499016658,0.005081210861739363,0.025480435264812765
2017-12-29,-0.004447314898890758,0.02082883124846908,0.015706022261966462,-0.00966321695564795,0.0047554880766325,0.000489787199064214,0.006417215849291181,-0.0043984993136913664,-0.019586108634559785,0.002785549564888158
2018-01-31,-0.0068317533568344945,-0.029180063743759723,0.02124871901435807,-0.005927108522477289,-0.0032231587411202037,0.01228509494583889,-0.006282836857625923,-0.004662987488421395,0.028286858669636542,-0.008456863402281037
2018-02-28,0.032232097484490144,-0.013729835231000308,-0.04197820641481531,0.055775585431307645,-0.02979387775341887,0.006163732865577957,-0.01301064493319082,-0.010930122958159375,0.009926118006809684,0.022076137812747806
2018-03-30,-0.033256958468492394,0.0036737972191198585,-0.0309022121837839,0.023400800042714973,0.00012605670766422102,0.004126444968006653,-0.004675489274397547,0.003179972684950675,-0.012137274728734682,-0.0037405944224089068
2018-04-27,0.014679884393961923,-0.009527299697511205,0.002892664891991602,0.013070903216219537,0.02014163147562935,-0.0076475811824113825,0.017855763215101232,-0.01055887728146288,0.009492445491622242,-0.03038533048653745
2018-05-31,-0.08526562663920934,-0.0068425503065911285,0.012407431195589898,-0.01075480151864447,0.016414785126337324,-0.011324049650076393,0.008990437234862404,0.011937860083007824,0.009813510285389116,-0.0325680809945424
2018-06-29,-0.014291432784746894,-0.0048716556583219975,0.0037572866951679465,0.00276277627419553,-0.004269395072490735,-0.001524733909440858,-0.00031141856771896797,0.005324479179542235,-0.020817988661502147,0.01667697711093199
2018-07-31,-0.06816785797610395,-0.002846322640049134,-0.030244835744903435,0.018082455915711736,0.009705042449741231,0.023515533366579366,-0.004416207664680105,0.03168948820014177,-0.01618824924251869,-0.011924630021398151
2018-08-31,0.0037457655190874907,-0.004239536528750977,-0.0076054227951941784,0.021700738744099595,-0.008883538466591187,-0.002485734982205962,0.00839079982907564,-0.04076654151251467,0.003480425367405754,0.01814800677173601
2018-09-28,-0.10512007419867334,-0.009233372892178428,0.0035373622275504894,-0.0132668078778779,0.025244714844267022,-0.012051040765204855,-0.009885712572534629,-0.01518000203250876,-0.011538036155412537,0.00559876286262689
2018-10-31,0.04169036612614185,0.0008318183199728729,-0.01393019367903716,0.014114948162641616,-0.013705663074633693,-0.004343429227903886,-0.0017585076553719475,0.002542470107181359,0.02260093949768838,0.01432805101306542
2018-11-30,-0.048768738311696536,-0.006398622729392063,0.021167518546209605,-0.02359233263050413,0.0014203671849464146,0.009124159137519938,0.004968284909397233,-0.014499892010443315,-0.0014570732124370351,0.012671788860449841
2018-12-28,0.015147586087236604,-0.0049917851625874725,0.05270308672972814,-0.04930188512039399,0.014633550889379211,-0.019874120802601505,0.012487162990672871,0.03109802267011011,-0.007186283805448009,-0.028273124241606724
2019-01-31,0.23336986779452468,-0.02311975485363809,-0.054562222081509515,0.015022632920041776,0.005258961004803143,0.0164335605437337,-0.02010997232917644,0.026529153259139283,0.033055369375633116,-0.008374706493442458
2019-02-28,0.10610925738273756,-0.003597077089865778,-0.009050297034361715,0.006112111241626258,0.002213349130541027,0.0007318442873301783,-0.008333992436926093,0.008891957570031842,0.01321799057763371,-0.0118621965642132
2019-03-29,-0.03257154146041812,0.0059165070677894395,-0.003369889763289491,0.0018611821648419633,0.018228667400203357,0.01172333683470036,-0.015256183606171874,-0.03624227422617185,0.008134299198716298,0.010059621036997762
2019-04-30,-0.06978543840353703,-0.01596341041803781,-0.0069975427226717825,0.00543521994637358,0.004961176685115232,0.002641799409951429,0.00014455954695384525,-0.011744365438046786,-0.0035151154871590636,-0.012519743662667922
2019-05-31,0.028123309806365415,0.010298809150384251,0.028127986675771155,-0.020895792081271552,0.004736044803280213,0.011504682103083872,0.003421580802972224,0.02157544410661985,-0.009193552354801798,-0.0018562806655069658
2019-06-28,0.020837520140860464,0.0109612985723033,-0.009643787330741333,-0.0008829086037658025,0.009337945389878624,-0.004312331570471179,0.0015311252227897243,0.004795903705198301,0.015103019250195564,-0.0056568417721898825
2019-07-31,0.009341904289641208,-0.008312259769001913,0.009848847989406072,-0.003880622542789479,0.006252629359982397,-0.0009820267778453103,0.002105387947483321,0.024038535022861067,0.027126228290447623,-0.029545051646814226
2019-08-30,0.02386433979330754,-0.019039377725313687,0.002897397130736161,-0.0032761413037511815,0.003225175511588162,0.008102507069059737,-0.004740320234004788,0.0382555625145201,-0.010459080618873693,-0.01820949038984737
2019-09-30,0.023059532078400884,-0.0003742905170586393,0.01159619337806554,-0.016099938379508984,0.011258067912405275,0.008460476902539461,-0.006679729378082737,0.006228818251400916,0.009272631125449909,-0.013666305276440123
2019-10-31,0.009452757352250684,-0.007090926283312189,0.010145572058144257,-0.014861078714359727,-0.0017810430131081788,0.008961637080887735,0.0061270361461713005,0.011524960210972211,-0.009744926077453149,-0.007159394151700045
2019-11-29,0.09323336199559012,-0.008643836077055824,0.0046585033491999845,-0.004061409451947956,-0.004093698685651465,0.002837086640636392,-0.0006336866569738843,0.03903170096394151,-0.0068772151859264295,-0.02774304370496539
2019-12-31,0.044967284057254676,-0.02077493665185581,0.003774238403685263,0.010309317318568847,-0.01609492625323315,0.022729339230390815,0.013950699369588907,0.07340604747518578,-0.0002616907754139352,-0.05846082302789601
2020-01-23,0.03256348705230256,0.0018217999937491637,0.014211993672705921,-0.0019359307608313094,-0.006689562436729833,-0.005815647561958029,0.008950425458469875,0.017561707852915227,0.0392386497906728,-0.018774696339962597
2020-02-28,-0.08463199209000585,-0.017552776590036893,-0.00886330260446367,0.014294291911036367,-0.0036564748645038334,-0.012928509586709236,-0.0015440341526810589,-0.05317591819270599,-0.0057060913100058395,0.00872598846616093
2020-03-31,0.08563157083868293,0.007777301943273579,-0.017933877915306356,0.031346061794945236,-5.218876573497092e-05,0.020687564991399766,0.0019566689300000236,0.0187495733158099,0.0198952325778339,0.0024978979038527875
2020-04-30,0.006339160014942319,-0.00885717036321926,-0.04156132364321762,0.04507982224187003,0.009822619224191241,-0.002937893041888252,-0.009217641899613683,-0.030914792272586526,0.013198538361821504,0.006871292189209802
2020-05-29,0.11624428487965403,0.024801843406973636,0.016591021101769025,-0.02037553781324425,0.03193212245203044,0.00901438262246541,0.0006482783618215289,0.06054011491811021,0.010455145176671527,-0.02054057455444614
2020-06-30,0.1490213472250322,-0.006786016618983572,-0.023686398833928247,0.04619729996043233,-0.027158038740991257,-0.009943114900824996,0.02408129900479003,-0.04777114141167318,0.004066035783718598,0.047047315008124604
2020-07-31,0.01550980294206234,-0.0033926759023873276,0.0023486013446794253,0.003838272135932318,-0.005095162810381641,-0.017133181646641585,0.00715983371851894,-0.01339403747687247,-0.019650721262134793,0.00962120739671971
2020-08-31,-0.06247785525907489,0.002730614024195833,0.0015685789101980677,-0.009502360805913119,0.01172049745451043,-0.0009971061510941838,0.005616636595247773,-0.004382345437545734,-0.010653531620602135,0.021369853294351367
2020-09-30,0.006788611005368255,0.013503155227220379,0.003123611761573978,0.006739168586669736,-0.003574410566148848,-0.011499714800519978,0.007224831451031359,-0.02534846795626962,-0.006185093535278,0.029220352698881232
2020-10-30,0.054505511042650244,-0.014207022170137746,0.013677853424492013,-0.020604766866519932,-0.002734418882602949,-0.0039876865162495265,-0.003995188938284213,-0.012590681981119787,-0.02606144797972975,0.04216199942440993
2020-11-30,0.013913455933037817,0.04827392487036556,-0.020353400238947685,0.051096276454514145,-0.022537004380514532,-0.015330217523866908,0.015210584112369016,-0.06599319301097786,0.033394665240605574,0.06650053161416322
2020-12-31,0.012782761750382822,0.031437290815859324,0.029360833501363048,-0.004801361351185984,-0.0012347476940474367,-0.013478118555634,-0.018136949539340586,-0.013941134048463416,0.027533692898763278,0.015527040211242217
2021-01-29,0.01472156224510229,-0.025244767574947768,0.00748701661039962,-0.008712630465231411,-0.008351410420792902,-0.007192399108380143,0.006735412216492116,0.011205841193851637,-0.02726430784755731,-0.027632896657309922
2021-02-26,-0.022925249223965032,-0.03229017536688245,-0.006659143069621789,0.004252637132745941,-0.0005193484636408834,-0.003821506691498272,0.007558919428363673,-0.03235547094125397,-0.03692413620643206,0.018222139096437464
2021-03-31,0.025880345215922407,0.008141529775842546,-0.031835750433321965,0.03616212736523184,0.004288712061746115,-0.0033882162755961374,0.006069332087783829,-0.012047252471439444,0.034187147844354476,0.025497483744540386
2021-04-30,0.049198724179073124,-0.005797889418098109,-0.015502825654020952,0.0035873405951958232,0.016462735797215088,0.008496091588151759,0.00023140827041336111,0.019158935694552702,0.037830528913685275,-0.01896489183298278
2021-05-31,0.010422394652420394,-0.00718872859094233,0.018653266206195524,-0.038829591995853015,0.015457524537836286,0.01235542338082411,-0.0006979708098019318,0.017167094139866352,0.011026119050345829,0.016241316279072576
2021-06-30,-0.01542443863175879,-0.016657651026935276,-0.003881576601061552,-0.0210703304530485,-0.012118047105312236,0.020089382481705803,0.02419896801888251,0.08094180794332688,0.026008048320789557,-0.03357308472667473
2021-07-30,0.047725161477023895,-0.023657530527595682,0.13518472495166353,-0.08866905173982324,-0.011290732739771058,0.0027868542960347424,-0.014468121630853242,0.009259642813975339,0.0012677341918298835,-0.06191447104099469
2021-08-31,0.011051745280797585,0.006378702195465479,-0.04761425179445734,0.03707295567247577,0.007040596485492851,-0.005315461076702431,0.009448181235996073,-0.01954563501551368,-0.03403905826063286,0.01684260332826788
2021-09-30,-0.022523676659090913,0.008769779003655833,-0.0041900145520600215,-0.011369593351841796,0.0028511577654339406,-0.0017990432623271604,0.0031950396197580203,0.018809046926452636,0.006776459518611591,0.011242981192845045
2021-10-29,0.03807572924027248,-0.033077913978135365,-0.02287229680952996,0.02276735080610356,-0.018798428834734215,-0.01203362450047113,-0.0012280338294242974,0.028799056556658948,-0.003929270330366912,-0.0021323690073299303
2021-11-30,0.06713981750006809,-0.027888407112833514,-0.006239044014227943,0.010481081494360228,0.002099704384990731,0.0047168829724976245,-0.00028871405041507134,0.016714516409183713,-0.03799889401684099,-0.028533150557005938
