strategy_name,signal_name,eta,clip_scheme,clip_lower,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,average_turnover,start_date,end_date,notes
ICIR + weekly 12w_mean eta=2.0 clip_0.5,12w_mean,2.0,clip_0.5,0.5,0,0.07350290157799688,0.1753869033916951,0.489713469775294,-0.2808205213222671,0.2617433413765571,0.547945205479452,0.47500193483476516,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=2.0 clip_0.7,12w_mean,2.0,clip_0.7,0.7,0,0.06706522093316347,0.1722656961501814,0.46044964545448047,-0.29130445189496545,0.23022381050786317,0.5342465753424658,0.4676805200835848,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=2.0 clip_0.8,12w_mean,2.0,clip_0.8,0.8,0,0.06517627227016298,0.1733108727418542,0.4483375964865693,-0.3008150851885314,0.21666557124060026,0.5205479452054794,0.4681216624100301,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 12w_mean eta=2.0 no_clip,12w_mean,2.0,no_clip,0.0,0,0.08533960599546986,0.17791711589733689,0.5470612158959921,-0.24640709948947614,0.34633582462633,0.547945205479452,0.4893777571395403,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 clip_0.5,4w_mean,0.5,clip_0.5,0.5,0,0.06510864598611321,0.17649419082461312,0.44309112364648406,-0.3155588033858029,0.2063280925378312,0.5342465753424658,0.4736282021515362,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 clip_0.7,4w_mean,0.5,clip_0.7,0.7,0,0.06679037865480475,0.1729561721629646,0.4577945976804202,-0.29599839894240076,0.2256443916367321,0.5342465753424658,0.466062998219952,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 clip_0.8,4w_mean,0.5,clip_0.8,0.8,0,0.06293039646901377,0.1736404743449009,0.43561268098513983,-0.30786629678059774,0.20440820293447515,0.5205479452054794,0.46514201687175905,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=0.5 no_clip,4w_mean,0.5,no_clip,0.0,0,0.06495637337268323,0.17666111779068017,0.44201237855281117,-0.31612269494580836,0.2054783614438642,0.5342465753424658,0.4747426669762402,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.0 clip_0.5,4w_mean,1.0,clip_0.5,0.5,0,0.06944076179702852,0.17764077383415247,0.46424499430690797,-0.31137203768033295,0.22301540727404429,0.5342465753424658,0.4722428604597168,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.0 clip_0.7,4w_mean,1.0,clip_0.7,0.7,0,0.06670982859314356,0.17262340223290745,0.4579241634627777,-0.29729579590512245,0.22438873846178778,0.5342465753424658,0.4674406005727112,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.0 clip_0.8,4w_mean,1.0,clip_0.8,0.8,0,0.06387791348944893,0.17336029967861324,0.4411781972565772,-0.30621695417479167,0.20860345130657523,0.5205479452054794,0.4660552588808916,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.0 no_clip,4w_mean,1.0,no_clip,0.0,0,0.0741492757616311,0.17960562519041137,0.48541392600149313,-0.30560396095382936,0.2426319198553633,0.5342465753424658,0.48574800712019195,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.5 clip_0.5,4w_mean,1.5,clip_0.5,0.5,0,0.0679203805600721,0.17699431993784598,0.4572431284095139,-0.3080747720838707,0.22046719405372592,0.5342465753424658,0.469948146428295,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.5 clip_0.7,4w_mean,1.5,clip_0.7,0.7,0,0.06673557182738521,0.17265406135062292,0.4580001671619007,-0.29813409503158894,0.2238441457704266,0.5342465753424658,0.4669839795681449,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.5 clip_0.8,4w_mean,1.5,clip_0.8,0.8,0,0.06321372160868188,0.17347359047333982,0.43738194069259406,-0.3079188800497549,0.20529342532834471,0.5205479452054794,0.46582694837860855,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=1.5 no_clip,4w_mean,1.5,no_clip,0.0,0,0.06915618739717844,0.18083378538597605,0.45754004507050905,-0.31499877408144716,0.21954430647814896,0.5205479452054794,0.4852875164460954,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=2.0 clip_0.5,4w_mean,2.0,clip_0.5,0.5,0,0.06548330173063688,0.17764361935371792,0.4433545985555811,-0.31543897591905,0.2075941996065877,0.5342465753424658,0.4710819596006502,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=2.0 clip_0.7,4w_mean,2.0,clip_0.7,0.7,0,0.06591854074196712,0.17322930945058043,0.4526349922420512,-0.30089378430309566,0.21907578082625398,0.5342465753424658,0.4681255320795604,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=2.0 clip_0.8,4w_mean,2.0,clip_0.8,0.8,0,0.06373912455393804,0.17350882345906324,0.4401900635392571,-0.30791888004975476,0.2069997284467871,0.5205479452054794,0.46582694837860844,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
ICIR + weekly 4w_mean eta=2.0 no_clip,4w_mean,2.0,no_clip,0.0,0,0.07120201972307272,0.18031367433982806,0.4691077634189294,-0.29851212130842864,0.23852304359026474,0.5205479452054794,0.48757449113845674,2019-11-29,2025-11-28,Monthly top-20% long-only; cost = simple holdings-change turnover x one-way cost; no return-drift adjustment or market impact.
