strategy,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,turnover,start_date,end_date,notes
Equal-factor multifactor,0.03491422452598658,0.16003183693234177,0.29186712147294697,-0.34721167373181894,0.10055602149181712,0.5,0.4544826048171276,2019-08-30,2025-11-28,Monthly rebalance; weekly EOT signal is average of last 4 weekly z-scores before month-end; no transaction costs.
ICIR-weighted multifactor,0.06359625470238628,0.1699933183768697,0.44525130873954344,-0.29174630699632187,0.21798478053464462,0.5394736842105263,0.45906184953910195,2019-08-30,2025-11-28,Monthly rebalance; weekly EOT signal is average of last 4 weekly z-scores before month-end; no transaction costs.
ICIR + weekly EOT drift weighted multifactor,0.07251083646371792,0.17629218270467892,0.48266990927366454,-0.3056039609538288,0.23727060420749255,0.5394736842105263,0.47929304192685107,2019-08-30,2025-11-28,Monthly rebalance; weekly EOT signal is average of last 4 weekly z-scores before month-end; no transaction costs.
ICIR + monthly EOT drift weighted multifactor,0.06598684973606028,0.16624800058575973,0.46512128823092735,-0.28568668144146114,0.23097628984003363,0.5526315789473685,0.4457663805121434,2019-08-30,2025-11-28,"Original monthly EOT strategy, metrics aligned to weekly-drift backtest start; turnover retained from full monthly run."
