factor_name,mean_rank_ic,std_rank_ic,icir,mean_long_short_return,std_long_short_return,t_stat_long_short,positive_month_ratio,worst_month,best_month,missing_months,available_months
liquidity_1m,-0.019175540082679906,0.15822738925491475,-0.12118976476181913,0.0031259778149736275,0.04514558492951267,0.7553427896333027,0.48739495798319327,2021-02-26,2025-07-31,0,119
momentum_3m,-0.010505485020182632,0.1968935890420374,-0.05335615583674325,0.0011474814920246182,0.05082834351162023,0.2431468948531228,0.5258620689655172,2019-01-31,2020-12-31,3,116
reversal_1m,0.016075134292836767,0.18433079431905516,0.08720807802201828,0.001186286949932518,0.04715870746932359,0.2732554692062937,0.4745762711864407,2025-08-29,2016-02-29,1,118
turnover_1m,0.07445518379903655,0.22827574753955204,0.3261633555099239,0.006149888023178102,0.06111284739457013,1.0977619411013853,0.5966386554621849,2019-01-31,2023-12-29,0,119
volatility_1m,0.05902061512235483,0.2252841969867346,0.26198293494075015,0.002427837005362514,0.058450312836989496,0.4531126296384601,0.5546218487394958,2019-01-31,2023-12-29,0,119
