factor_name,mean_eot_drift,std_eot_drift,mean_shift_correlation,covariance_shift_correlation,fallback_rate
liquidity_1m,0.561167191648111,0.32802596997513433,0.8134458766827626,0.613034857215341,0.0
momentum_12m,0.7140235958603297,0.5455646213966351,0.6634827656868074,0.9451864660168764,0.0
momentum_1m,0.4805234991438623,0.24219681786451971,0.397618390384806,0.8499301267443309,0.0
momentum_3m,0.5774757492122169,0.34961883126615256,0.7613097126506241,0.8275020605296988,0.0031645569620253164
momentum_6m,0.6128756214785159,0.3418016983566251,0.6743214909269689,0.7473378928640523,0.0
reversal_1m,0.5640260779152005,0.3831223973577095,0.7170361842798918,0.9424440200718162,0.0
turnover_1m,0.7015141003417041,0.5769145953591952,0.9123709335677785,0.6834009010506386,0.0
turnover_3m,0.7521326965827512,0.6596244102200873,0.9271840827775021,0.7097772494332472,0.0
volatility_1m,0.6453942269694778,0.4396756540413579,0.8804250229923488,0.7373587002793244,0.0
volatility_3m,0.6203944423351234,0.4020712939980534,0.8608262659368957,0.6736630826901798,0.0
