strategy,cost_bps,annual_return,sharpe,max_drawdown,average_turnover,factor_turnover
cluster_representative_equal,0,0.08694616449394288,0.47298130676017947,-0.241348652707417,0.5274988033594669,0.13860062893081762
cluster_representative_equal,5,0.08352777216956286,0.4543567111298617,-0.24390396697794237,0.5274988033594669,0.13860062893081762
cluster_representative_equal,10,0.08011914843327061,0.43578657716894464,-0.2464514845550454,0.5274988033594669,0.13860062893081762
cluster_representative_equal,20,0.07333110617303973,0.39880963131227837,-0.25152321491914653,0.5274988033594669,0.13860062893081762
equal_eligible,0,0.06600779000723023,0.45228078472572364,-0.22224028399000162,0.3052029207150168,0.009032457322551665
equal_eligible,5,0.06406711868196968,0.4390017052104481,-0.22367393385168244,0.3052029207150168,0.009032457322551665
equal_eligible,10,0.06212965038427454,0.4257427840808683,-0.22510519255351524,0.3052029207150168,0.009032457322551665
equal_eligible,20,0.05826430382857106,0.39928555177104197,-0.22796055075929755,0.3052029207150168,0.009032457322551665
icir_eot,0,0.04912943609309184,0.3388610338253147,-0.24875293322069147,0.3526876684676918,0.07433611043736188
icir_eot,5,0.04691832148461983,0.3236024710237509,-0.2504335958502133,0.3526876684676918,0.07433611043736188
icir_eot,10,0.04471141292828684,0.30837271429895013,-0.2521107767268014,0.3526876684676918,0.07433611043736188
icir_eot,20,0.040310185290279854,0.2779999687070171,-0.25545471977057765,0.3526876684676918,0.07433611043736188
icir_eot_redundancy,0,0.051348522645449535,0.35487853791290525,-0.24083956683558816,0.3510805912889339,0.07471516506440727
icir_eot_redundancy,5,0.04914321697671853,0.3396296208956569,-0.2425870237428135,0.3510805912889339,0.07471516506440727
icir_eot_redundancy,10,0.04694208777811748,0.32440928777976913,-0.24433075382318403,0.3510805912889339,0.07471516506440727
icir_eot_redundancy,20,0.042552330430202456,0.2940547129848474,-0.2478070627749258,0.3510805912889339,0.07471516506440727
icir_eot_redundancy_cost,0,0.054856619912050375,0.37742497326161684,-0.23648358239158207,0.3327540455650901,0.07869520810066673
icir_eot_redundancy_cost,5,0.05275999923813468,0.36299177965921053,-0.23816837112195988,0.3327540455650901,0.07869520810066673
icir_eot_redundancy_cost,10,0.05066713512627463,0.34858404204849497,-0.239849716453709,0.3327540455650901,0.07869520810066673
icir_eot_redundancy_cost,20,0.04649265248281842,0.3198452697644636,-0.24320210283112687,0.3327540455650901,0.07869520810066673
icir_weighted,0,0.05152245850924708,0.3576838886369203,-0.24875293322069147,0.3463377950913071,0.06608738417312142
icir_weighted,5,0.04934632730706223,0.34256402624677895,-0.2504335958502133,0.3463377950913071,0.06608738417312142
icir_weighted,10,0.047174269438658545,0.32747270787736765,-0.2521107767268014,0.3463377950913071,0.06608738417312142
icir_weighted,20,0.042842346321534386,0.29737596299033164,-0.25545471977057765,0.3463377950913071,0.06608738417312142
lifecycle_filtered_drift,0,0.050221194139131065,0.3413650326660906,-0.2496567131499019,0.3613823729435963,0.13005918753572696
lifecycle_filtered_drift,5,0.04795168402749539,0.3259052757717072,-0.2515450216683326,0.3613823729435963,0.13005918753572696
lifecycle_filtered_drift,10,0.04568657611168203,0.3104772950959291,-0.25342894378690706,0.3613823729435963,0.13005918753572696
lifecycle_filtered_drift,20,0.04116953641593346,0.27971719415786056,-0.25718366620949906,0.3613823729435963,0.13005918753572696
