date,factor_name,raw_coverage,post_filter_coverage,post_neutralization_coverage,cross_section_std
2016-01-29,liquidity_1m,1.0,1.0,1.0,1.0000000000000004
2016-01-29,momentum_12m,0.0,0.0,0.0,
2016-01-29,momentum_1m,0.0,0.0,0.0,
2016-01-29,momentum_3m,0.0,0.0,0.0,
2016-01-29,momentum_6m,0.0,0.0,0.0,
2016-01-29,reversal_1m,0.0,0.0,0.0,
2016-01-29,turnover_1m,0.9929328621908127,0.9929328621908127,0.9929328621908127,0.9999999999999998
2016-01-29,turnover_3m,0.0,0.0,0.0,
2016-01-29,volatility_1m,1.0,1.0,1.0,0.9999999999999999
2016-01-29,volatility_3m,0.0,0.0,0.0,
2016-02-05,liquidity_1m,1.0,1.0,1.0,1.0
2016-02-05,momentum_12m,0.0,0.0,0.0,
2016-02-05,momentum_1m,1.0,1.0,1.0,0.9999999999999994
2016-02-05,momentum_3m,0.0,0.0,0.0,
2016-02-05,momentum_6m,0.0,0.0,0.0,
2016-02-05,reversal_1m,1.0,1.0,1.0,0.9999999999999994
2016-02-05,turnover_1m,0.9893617021276596,0.9893617021276596,0.9893617021276596,0.9999999999999992
2016-02-05,turnover_3m,0.0,0.0,0.0,
2016-02-05,volatility_1m,1.0,1.0,1.0,0.9999999999999994
2016-02-05,volatility_3m,0.0,0.0,0.0,
2016-02-19,liquidity_1m,1.0,1.0,1.0,1.0000000000000004
2016-02-19,momentum_12m,0.0,0.0,0.0,
2016-02-19,momentum_1m,1.0,1.0,1.0,0.9999999999999998
2016-02-19,momentum_3m,0.0,0.0,0.0,
2016-02-19,momentum_6m,0.0,0.0,0.0,
2016-02-19,reversal_1m,1.0,1.0,1.0,0.9999999999999998
2016-02-19,turnover_1m,0.9893617021276596,0.9893617021276596,0.9893617021276596,1.0
2016-02-19,turnover_3m,0.950354609929078,0.950354609929078,0.950354609929078,0.9999999999999997
2016-02-19,volatility_1m,1.0,1.0,1.0,0.9999999999999996
2016-02-19,volatility_3m,0.0,0.0,0.0,
2016-02-26,liquidity_1m,1.0,1.0,1.0,0.9999999999999999
2016-02-26,momentum_12m,0.0,0.0,0.0,
2016-02-26,momentum_1m,1.0,1.0,1.0,1.0000000000000004
2016-02-26,momentum_3m,0.0,0.0,0.0,
2016-02-26,momentum_6m,0.0,0.0,0.0,
2016-02-26,reversal_1m,1.0,1.0,1.0,1.0000000000000004
2016-02-26,turnover_1m,0.972027972027972,0.972027972027972,0.972027972027972,0.9999999999999998
2016-02-26,turnover_3m,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0000000000000002
2016-02-26,volatility_1m,1.0,1.0,1.0,1.0
2016-02-26,volatility_3m,1.0,1.0,1.0,0.9999999999999999
2016-03-04,liquidity_1m,1.0,1.0,1.0,0.9999999999999998
2016-03-04,momentum_12m,0.0,0.0,0.0,
2016-03-04,momentum_1m,1.0,1.0,1.0,0.9999999999999999
2016-03-04,momentum_3m,0.0,0.0,0.0,
2016-03-04,momentum_6m,0.0,0.0,0.0,
2016-03-04,reversal_1m,1.0,1.0,1.0,0.9999999999999999
2016-03-04,turnover_1m,0.971830985915493,0.971830985915493,0.971830985915493,1.0000000000000002
2016-03-04,turnover_3m,0.971830985915493,0.971830985915493,0.971830985915493,0.9999999999999997
2016-03-04,volatility_1m,1.0,1.0,1.0,1.0000000000000004
2016-03-04,volatility_3m,1.0,1.0,1.0,0.9999999999999999
2016-03-11,liquidity_1m,1.0,1.0,1.0,0.9999999999999998
2016-03-11,momentum_12m,0.0,0.0,0.0,
2016-03-11,momentum_1m,1.0,1.0,1.0,1.0000000000000002
2016-03-11,momentum_3m,0.0,0.0,0.0,
2016-03-11,momentum_6m,0.0,0.0,0.0,
2016-03-11,reversal_1m,1.0,1.0,1.0,1.0000000000000002
2016-03-11,turnover_1m,0.9719298245614035,0.9719298245614035,0.9719298245614035,0.9999999999999999
2016-03-11,turnover_3m,0.968421052631579,0.968421052631579,0.968421052631579,0.9999999999999998
2016-03-11,volatility_1m,1.0,1.0,1.0,1.0
2016-03-11,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2016-03-18,liquidity_1m,1.0,1.0,1.0,0.9999999999999997
2016-03-18,momentum_12m,0.0,0.0,0.0,
2016-03-18,momentum_1m,1.0,1.0,1.0,0.9999999999999999
2016-03-18,momentum_3m,0.0,0.0,0.0,
2016-03-18,momentum_6m,0.0,0.0,0.0,
2016-03-18,reversal_1m,1.0,1.0,1.0,0.9999999999999999
2016-03-18,turnover_1m,0.9823943661971831,0.9823943661971831,0.9823943661971831,0.9999999999999998
2016-03-18,turnover_3m,0.9823943661971831,0.9823943661971831,0.9823943661971831,1.0000000000000007
2016-03-18,volatility_1m,1.0,1.0,1.0,0.9999999999999997
2016-03-18,volatility_3m,1.0,1.0,1.0,1.0
2016-03-25,liquidity_1m,1.0,1.0,1.0,1.0
2016-03-25,momentum_12m,0.0,0.0,0.0,
2016-03-25,momentum_1m,1.0,1.0,1.0,1.0
2016-03-25,momentum_3m,0.0,0.0,0.0,
2016-03-25,momentum_6m,0.0,0.0,0.0,
2016-03-25,reversal_1m,1.0,1.0,1.0,1.0
2016-03-25,turnover_1m,0.9858156028368794,0.9858156028368794,0.9858156028368794,1.0000000000000002
2016-03-25,turnover_3m,0.9858156028368794,0.9858156028368794,0.9858156028368794,0.9999999999999999
2016-03-25,volatility_1m,1.0,1.0,1.0,1.0
2016-03-25,volatility_3m,1.0,1.0,1.0,1.0000000000000002
2016-04-01,liquidity_1m,1.0,1.0,1.0,0.9999999999999997
2016-04-01,momentum_12m,0.0,0.0,0.0,
2016-04-01,momentum_1m,1.0,1.0,1.0,0.9999999999999996
2016-04-01,momentum_3m,0.0,0.0,0.0,
2016-04-01,momentum_6m,0.0,0.0,0.0,
2016-04-01,reversal_1m,1.0,1.0,1.0,0.9999999999999996
2016-04-01,turnover_1m,0.9893992932862191,0.9893992932862191,0.9893992932862191,1.0
2016-04-01,turnover_3m,0.9893992932862191,0.9893992932862191,0.9893992932862191,1.0
2016-04-01,volatility_1m,1.0,1.0,1.0,1.0
2016-04-01,volatility_3m,1.0,1.0,1.0,0.9999999999999998
2016-04-08,liquidity_1m,1.0,1.0,1.0,0.9999999999999992
2016-04-08,momentum_12m,0.0,0.0,0.0,
2016-04-08,momentum_1m,1.0,1.0,1.0,1.0000000000000002
