strategy,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,average_turnover,factor_turnover,number_of_selected_factors,number_of_selected_stocks
cluster_representative_equal,0,0.08694616449394288,0.18382579448965006,0.47298130676017947,-0.241348652707417,0.36025129421106106,0.5094339622641509,0.5274988033594669,0.13860062893081762,2.9150943396226414,57.471698113207545
cluster_representative_equal,5,0.08352777216956286,0.18383743460474478,0.4543567111298617,-0.24390396697794237,0.34246172050623824,0.5094339622641509,0.5274988033594669,0.13860062893081762,2.9150943396226414,57.471698113207545
cluster_representative_equal,10,0.08011914843327061,0.18384950944051273,0.43578657716894464,-0.2464514845550454,0.3250909548299996,0.5094339622641509,0.5274988033594669,0.13860062893081762,2.9150943396226414,57.471698113207545
cluster_representative_equal,20,0.07333110617303973,0.1838749629284142,0.39880963131227837,-0.25152321491914653,0.2915480632537732,0.5094339622641509,0.5274988033594669,0.13860062893081762,2.9150943396226414,57.471698113207545
equal_eligible,0,0.06600779000723023,0.14594427231141224,0.45228078472572364,-0.22224028399000162,0.29701091459278306,0.5188679245283019,0.3052029207150168,0.009032457322551665,9.820754716981131,57.471698113207545
equal_eligible,5,0.06406711868196968,0.14593820006065183,0.4390017052104481,-0.22367393385168244,0.28643086647929394,0.5094339622641509,0.3052029207150168,0.009032457322551665,9.820754716981131,57.471698113207545
equal_eligible,10,0.06212965038427454,0.14593236270206106,0.4257427840808683,-0.22510519255351524,0.2760027420047371,0.5094339622641509,0.3052029207150168,0.009032457322551665,9.820754716981131,57.471698113207545
equal_eligible,20,0.05826430382857106,0.14592139277301208,0.39928555177104197,-0.22796055075929755,0.25558941507424265,0.5094339622641509,0.3052029207150168,0.009032457322551665,9.820754716981131,57.471698113207545
icir_eot,0,0.04912943609309184,0.14498402350509978,0.3388610338253147,-0.24875293322069147,0.19750294180251785,0.5094339622641509,0.3526876684676918,0.07433611043736188,6.443396226415095,57.471698113207545
icir_eot,5,0.04691832148461983,0.14498752539246293,0.3236024710237509,-0.2504335958502133,0.187348352066478,0.5094339622641509,0.3526876684676918,0.07433611043736188,6.443396226415095,57.471698113207545
icir_eot,10,0.04471141292828684,0.1449914692677434,0.30837271429895013,-0.2521107767268014,0.17734828121503965,0.5094339622641509,0.3526876684676918,0.07433611043736188,6.443396226415095,57.471698113207545
icir_eot,20,0.040310185290279854,0.14500068283375447,0.2779999687070171,-0.25545471977057765,0.15779777068312612,0.5094339622641509,0.3526876684676918,0.07433611043736188,6.443396226415095,57.471698113207545
icir_eot_redundancy,0,0.051348522645449535,0.14469323207720033,0.35487853791290525,-0.24083956683558816,0.21320634030413774,0.5377358490566038,0.3510805912889339,0.07471516506440727,6.443396226415095,57.471698113207545
icir_eot_redundancy,5,0.04914321697671853,0.14469649863613224,0.3396296208956569,-0.2425870237428135,0.20257974321338518,0.5377358490566038,0.3510805912889339,0.07471516506440727,6.443396226415095,57.471698113207545
icir_eot_redundancy,10,0.04694208777811748,0.14470019677730353,0.32440928777976913,-0.24433075382318403,0.19212517066962548,0.5377358490566038,0.3510805912889339,0.07471516506440727,6.443396226415095,57.471698113207545
icir_eot_redundancy,20,0.042552330430202456,0.14470888767014992,0.2940547129848474,-0.2478070627749258,0.17171556756173328,0.5377358490566038,0.3510805912889339,0.07471516506440727,6.443396226415095,57.471698113207545
icir_eot_redundancy_cost,0,0.054856619912050375,0.14534443610869868,0.37742497326161684,-0.23648358239158207,0.23196798423501497,0.5377358490566038,0.3327540455650901,0.07869520810066673,6.443396226415095,57.471698113207545
icir_eot_redundancy_cost,5,0.05275999923813468,0.14534764199802988,0.36299177965921053,-0.23816837112195988,0.22152395378779177,0.5377358490566038,0.3327540455650901,0.07869520810066673,6.443396226415095,57.471698113207545
icir_eot_redundancy_cost,10,0.05066713512627463,0.14535127548732085,0.34858404204849497,-0.239849716453709,0.2112453409385347,0.5377358490566038,0.3327540455650901,0.07869520810066673,6.443396226415095,57.471698113207545
icir_eot_redundancy_cost,20,0.04649265248281842,0.14535982513374654,0.3198452697644636,-0.24320210283112687,0.1911687931214217,0.5283018867924528,0.3327540455650901,0.07869520810066673,6.443396226415095,57.471698113207545
icir_weighted,0,0.05152245850924708,0.14404467225401582,0.3576838886369203,-0.24875293322069147,0.2071230189817975,0.5188679245283019,0.3463377950913071,0.06608738417312142,6.443396226415095,57.471698113207545
icir_weighted,5,0.04934632730706223,0.14404993964986196,0.34256402624677895,-0.2504335958502133,0.19704356014828273,0.5188679245283019,0.3463377950913071,0.06608738417312142,6.443396226415095,57.471698113207545
